timestamp,price,quantity,buyer,seller,spread
3005,99.51,1,8,0,0.8700000000000045
3007,99.51,2,8,30,0.8700000000000045
3009,100.86,2,0,10,0.8700000000000045
3011,100.86,4,40,5,0.8700000000000045
3011,100.86,1,27,5,0.8700000000000045
3011,100.86,1,27,8,0.8700000000000045
3016,100.86,4,54,8,0.8700000000000045
3017,99.51,2,8,42,0.8700000000000045
3021,99.51,1,5,32,0.8700000000000045
3023,99.51,2,5,38,0.8700000000000045
3023,100.86,2,0,17,0.8700000000000045
3024,100.86,1,39,17,0.8700000000000045
3035,100.86,2,0,8,0.8700000000000045
3036,100.86,3,54,8,0.8700000000000045
3043,99.51,2,5,13,0.8700000000000045
3053,99.51,4,4,32,0.8700000000000045
3067,100.86,2,0,17,0.8700000000000045
3067,99.51,1,4,25,0.8700000000000045
3067,99.51,1,37,25,0.8700000000000045
3070,100.86,2,0,17,0.8700000000000045
3076,99.51,2,8,0,0.8800000000000097
3093,100.87,1,54,60,0.8800000000000097
3093,100.87,2,54,56,0.8800000000000097
3103,99.51,2,8,38,0.8800000000000097
3106,100.87,2,0,56,0.8800000000000097
3110,99.51,1,8,25,0.8800000000000097
3110,99.51,3,10,25,0.8800000000000097
3111,99.51,2,10,51,0.8800000000000097
3116,100.87,2,0,41,0.8800000000000097
3117,99.51,4,5,38,0.8800000000000097
3119,100.87,1,17,41,0.8800000000000097
3119,100.87,1,17,49,0.8800000000000097
3119,100.87,2,41,60,0.8800000000000097
3120,99.51,1,5,25,0.8800000000000097
